,id,gid,name,latitude,longitude,address,satation_id,station_name,station_distance,station_time,genre_code,genre_name,review_count,access,paypay_flg
0,16191,ORjsgbkXNpM,東京スカイツリー(R),35.70999811681542,139.81078472122292,東京都墨田区押上1-1-2,22578,押上,270,3,0303013,レジャー、趣味（その他）,1648,,False
1,100001266371,bjSjLISuKzc,首里城公園 レストラン首里杜,26.2179418,127.71604279999997,沖縄県那覇市首里金城町1-2 首里城公園内,29469,儀保,1094,13,0101032,沖縄料理,974,ゆいレール／儀保駅 徒歩10分 (799m),False
2,2000,7oqueF17FRQ,羽田空港国際線旅客ターミナル,35.54500699027675,139.76921826578348,東京都大田区羽田空港2-6-5 国際線旅客ターミナル,29672,羽田空港第３ターミナル(京急),141,1,0303013,レジャー、趣味（その他）,1191,,False
3,100001304312,rwngV12Va6Q,竹庭 TOMORI 大宮店,35.905639,139.6254057,埼玉県さいたま市大宮区仲町1-1-1 大宮タウンビル 5F,21987,大宮(埼玉県),126,1,0110,居酒屋、ビアホール,777,JR京浜東北線／大宮駅 徒歩1分 (59m),True
4,100001165162,6oXzW2jN0uw,道後温泉本館,33.8519871,132.7863817,愛媛県松山市道後湯之町5-6,27862,道後温泉,293,3,0115002,喫茶店,740,伊予鉄道３系統(市駅線)／道後温泉駅 徒歩3分 (241m),False
5,100001320694,MrOXJWdUsV6,ヒルトン東京お台場,35.62641659346143,139.77067023653422,東京都港区台場1-9-1,29055,台場,170,2,0102,洋食,716,ゆりかもめ／台場駅 徒歩2分 (126m),False
6,100000454011,UvQYYXh1Yr2,横浜ロイヤルパークホテル,35.45451,139.63127199999997,神奈川県横浜市西区みなとみらい2-2-1-3 横浜ロイヤルパークホテル,23180,桜木町,486,6,0102005,フランス料理（フレンチ）,695,JR京浜東北線／桜木町駅 徒歩5分 (380m),False
7,100001174197,U9aT-GLzB3U,品川プリンスホテル,35.62790636,139.73520699,東京都港区高輪4-10-30 品川プリンスホテル,22709,品川,451,5,0102005,フランス料理（フレンチ）,672,JR山手線／品川駅 徒歩4分 (280m),False
8,s000072621,Dvb1JxluUXE,三宮 イタリアン ディナー＆ワインバー ラ・ゴローニャ,34.6960707,135.19223607,兵庫県神戸市中央区中山手通1-10-10  ,26376,三宮(神戸市営),207,2,0102006,イタリア料理（イタリアン）,56,,True
9,100001172661,TIGK0cJGS8o,ホテルミラコスタ,35.62711063,139.88746655,千葉県浦安市舞浜1-13,29372,東京ディズニーシー・ステーション,291,3,0102006,イタリア料理（イタリアン）,661,JR京葉線／舞浜駅 徒歩14分 (1050m),False
10,100000013428,s-ZTkVx10O-,リーガロイヤルホテル大阪,34.69031,135.48733600000003,大阪府大阪市北区中之島5-3-68 リーガロイヤルホテル,29649,中之島,107,1,0127001,オーベルジュ,643,京阪中之島線／中之島駅 徒歩2分 (133m),True
11,100000697768,5b8KBC2mhSw,ホテル日航アリビラ -ヨミタンリゾート沖縄-,26.4153835,127.7151202,沖縄県中頭郡読谷村儀間600,,,,,0128001,その他,735,,False
12,100000841000,-DtfCqyYLfE,レゴカフェ,35.629547859351305,139.7761122539673,東京都港区台場1-6-1 デックス東京ビーチ アイランドモール 7F,29054,お台場海浜公園,273,3,0115001,カフェ,810,ゆりかもめ／お台場海浜公園駅 徒歩4分 (278m),False
